Interaction index,Player index,Opponent index,Repetition,Player name,Opponent name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
56,4,3,0,Cycler DC,Cooperator,DCDC,16,10,4,4.0,2.5,1,False,2,2,0,2,0,0,1,0,0,2,0,0,0,0
57,3,4,1,Cooperator,Cycler DC,CCCC,6,-10,4,1.5,-2.5,0,True,4,2,2,0,0,1,0,2,0,0,0,0,0,1
57,4,3,1,Cycler DC,Cooperator,DCDC,16,10,4,4.0,2.5,1,False,2,2,0,2,0,0,1,0,0,2,0,0,0,0
58,3,5,0,Cooperator,Defector,CCCC,0,-20,4,0.0,-5.0,0,True,4,0,4,0,0,0,0,3,0,0,0,0,0,1
58,5,3,0,Defector,Cooperator,DDDD,20,20,4,5.0,5.0,1,False,0,0,0,4,0,0,0,0,0,0,3,0,0,0
59,3,5,1,Cooperator,Defector,CCCC,0,-20,4,0.0,-5.0,0,True,4,0,4,0,0,0,0,3,0,0,0,0,0,1
59,5,3,1,Defector,Cooperator,DDDD,20,20,4,5.0,5.0,1,False,0,0,0,4,0,0,0,0,0,0,3,0,0,0
60,3,6,0,Cooperator,Suspicious Tit For Tat,CCCC,9,-5,4,2.25,-1.25,0,True,4,3,1,0,0,2,0,1,0,0,0,0,0,1
60,6,3,0,Suspicious Tit For Tat,Cooperator,DCCC,14,5,4,3.5,1.25,1,False,3,3,0,1,0,2,0,0,0,1,0,0,0,0
61,3,6,1,Cooperator,Suspicious Tit For Tat,CCCC,9,-5,4,2.25,-1.25,0,True,4,3,1,0,0,2,0,1,0,0,0,0,0,1
61,6,3,1,Suspicious Tit For Tat,Cooperator,DCCC,14,5,4,3.5,1.25,1,False,3,3,0,1,0,2,0,0,0,1,0,0,0,0
62,3,7,0,Cooperator,Tit For Tat,CCCC,12,0,4,3.0,0.0,0,True,4,4,0,0,0,3,0,0,0,0,0,0,0,1
62,7,3,0,Tit For Tat,Cooperator,CCCC,12,0,4,3.0,0.0,0,True,4,4,0,0,0,3,0,0,0,0,0,0,0,1
63,3,7,1,Cooperator,Tit For Tat,CCCC,12,0,4,3.0,0.0,0,True,4,4,0,0,0,3,0,0,0,0,0,0,0,1
63,7,3,1,Tit For Tat,Cooperator,CCCC,12,0,4,3.0,0.0,0,True,4,4,0,0,0,3,0,0,0,0,0,0,0,1
64,3,8,0,Cooperator,Win-Shift Lose-Stay: D,CCCC,6,-10,4,1.5,-2.5,0,True,4,2,2,0,0,1,0,2,0,0,0,0,0,1
